"date","open","high","low","close","volume","adjusted_close","change_percent","avg_vol_20d"
2010-08-26,1.326,1.35134,1.30666,1.31666,6506040,19.7505,-0.75,10622842.9
2010-08-27,1.31666,1.32434,1.3,1.31334,5694630,19.6995,-0.26,10587451.9
2010-08-30,1.31334,1.346,1.30734,1.32466,10990965,19.8705,0.87,10597641.4
2010-08-31,1.31066,1.31934,1.28866,1.29866,3015180,19.4805,-1.96,9825133.2
2010-09-01,1.308,1.37934,1.30666,1.36334,7435275,20.4495,4.97,9506330
2010-09-02,1.358,1.416,1.35402,1.404,7305900,21.06,2.99,9274340.05
2010-09-03,1.39134,1.42,1.37734,1.40334,6521340,21.0495,-0.05,9043803.55
2010-09-07,1.374,1.4,1.36666,1.36934,3650025,20.5395,-2.42,8616812.85
2010-09-08,1.37734,1.39666,1.37334,1.39334,4325730,20.8995,1.75,7872134.9
2010-09-09,1.4,1.40334,1.37934,1.38066,5642955,20.7105,-0.9,7556045.2
2010-09-10,1.38334,1.39534,1.31734,1.34466,5798565,20.1705,-2.61,7327512.7
2010-09-13,1.39266,1.3933,1.36666,1.38134,5410545,20.7195,2.72,7122155.2
2010-09-14,1.36934,1.44,1.36866,1.408,9819435,21.12,1.93,7248468.7
2010-09-15,1.39866,1.46666,1.386,1.46534,10271370,21.9795,4.07,7426126.45
2010-09-16,1.47666,1.544,1.38934,1.396,40288185,20.94,-4.73,8989537.35
2010-09-17,1.40134,1.42134,1.32,1.34866,17976855,20.2305,-3.39,9454069.3
2010-09-20,1.378,1.42334,1.344,1.40366,14212110,21.0555,4.08,9941551.25
2010-09-21,1.39266,1.43666,1.378,1.38466,11939985,20.7705,-1.35,9722529.5
2010-09-22,1.39134,1.39666,1.32,1.32466,14442225,19.8705,-4.33,9939835.95
2010-09-23,1.326,1.34266,1.3,1.304,10021140,19.56,-1.56,10063426.2
2010-09-24,1.33,1.346,1.31,1.34,8684805,20.1,2.76,10172364.45
2010-09-27,1.36,1.38734,1.33666,1.36866,6278955,20.5305,2.14,10201580.7
2010-09-28,1.40266,1.43266,1.384,1.42666,18216960,21.4005,4.24,10562881.15
2010-09-29,1.41266,1.46866,1.40866,1.46534,29541840,21.9795,2.71,11889214.85
2010-09-30,1.46666,1.47666,1.346,1.36034,32949360,20.4045,-7.17,13164919.8
2010-10-01,1.37934,1.38334,1.354,1.37334,8986065,20.5995,0.96,13248928.05
2010-10-04,1.362,1.41134,1.35334,1.39934,9653985,20.9895,1.89,13405560.3
2010-10-05,1.41,1.41866,1.40066,1.408,4979040,21.12,0.62,13472011.05
2010-10-06,1.404,1.4172,1.35466,1.364,4703280,20.46,-3.12,13490888.55
2010-10-07,1.37134,1.376,1.356,1.362,2115300,20.43,-0.15,13314505.8
2010-10-08,1.362,1.386,1.35934,1.362,4021650,20.43,0,13225660.05
2010-10-11,1.36266,1.37994,1.338,1.34934,2567910,20.2395,-0.93,13083528.3
2010-10-12,1.34666,1.3522,1.33534,1.34934,3658680,20.2395,0,12775490.55
2010-10-13,1.376,1.39,1.35734,1.36934,4808115,20.5395,1.48,12502327.8
2010-10-14,1.4,1.402,1.36,1.38334,4419300,20.7495,1.02,10708882.9
2010-10-15,1.39266,1.39334,1.35,1.36934,4272600,20.5395,-1.01,10023669.45
2010-10-18,1.368,1.376,1.348,1.34866,2440935,20.2305,-1.5,9435110
2010-10-19,1.34666,1.3604,1.33334,1.33666,3676905,20.0505,-0.89,9021955.3
2010-10-20,1.344,1.37934,1.336,1.37666,4686660,20.6505,2.99,8534176.35
2010-10-21,1.374,1.39666,1.36334,1.38334,6269985,20.7495,0.48,8346618.6
2010-10-22,1.37866,1.39534,1.37,1.38134,2415315,20.7195,-0.14,8033144.1
2010-10-25,1.396,1.39866,1.382,1.39,1779210,20.85,0.63,7808156.85
2010-10-26,1.38666,1.458,1.36734,1.424,9912615,21.36,2.45,7392938.9
2010-10-27,1.41666,1.42534,1.37666,1.4,5347500,21,-1.69,6183221.2
2010-10-28,1.426,1.43334,1.39734,1.41266,3362850,21.1905,0.91,4703895
2010-10-29,1.40934,1.45666,1.40346,1.456,4210230,21.84,3.07,4465103.25
2010-11-01,1.46266,1.51666,1.42066,1.42734,6836760,21.4095,-1.97,4324242
2010-11-02,1.44534,1.45862,1.40334,1.41666,4836975,21.2505,-0.74,4317138.75
2010-11-03,1.41866,1.5,1.41066,1.45134,5612985,21.7695,2.44,4362624
2010-11-04,1.50666,1.68866,1.47674,1.66,28122000,24.9,14.38,5662959.7
2010-11-05,1.658,1.66466,1.58134,1.62934,15164175,24.4395,-1.85,6220086.65
2010-11-08,1.63334,1.66666,1.602,1.66534,7642125,24.9795,2.21,6473797.4
2010-11-09,1.66666,1.71266,1.60334,1.642,14366220,24.63,-1.4,7009175.1
2010-11-10,1.632,1.998,1.60334,1.95734,45915555,29.3595,19.2,9064547.75
2010-11-11,1.90666,1.94,1.822,1.869,29176395,28.035,-4.51,10302403.2
2010-11-12,1.88334,2.03334,1.87134,1.98934,40937520,29.8395,6.44,12135649.85
2010-11-15,2.01466,2.19596,2.01466,2.05334,39376980,30.7995,3.22,13982452.75
2010-11-16,2.06666,2.09334,1.89466,1.978,20215950,29.67,-3.67,14809405.7
2010-11-17,2.01334,2.05,1.90734,1.966,11255115,29.49,-0.61,15137828.45
2010-11-18,2.04466,2.04934,1.928,1.99266,14343705,29.8905,1.36,15541515.15
2010-11-19,2.01066,2.09134,1.98,2.066,17257395,30.99,3.68,16283619.85
2010-11-22,2.10466,2.23,2.1,2.22666,22949565,33.4005,7.78,17342138.3
2010-11-23,2.21934,2.37866,2.146,2.30466,23671035,34.5705,3.5,18030060
2010-11-24,2.35134,2.398,2.28894,2.36466,21374370,35.4705,2.6,18831404.2
2010-11-26,2.37334,2.4,2.31666,2.35466,5258310,35.3205,-0.42,18926177.2
2010-11-29,2.3608,2.39666,2.222,2.28866,17183130,34.3305,-2.8,19574822.9
2010-11-30,2.24934,2.35534,2.22734,2.35534,33344355,35.3295,2.91,20900203.35
2010-12-01,2.39134,2.428,2.23,2.29,19487610,34.35,-2.77,21632735.8
2010-12-02,2.26734,2.2865,2.08,2.15666,30104490,32.3505,-5.82,22857311.75
2010-12-03,2.134,2.15,2.058,2.09934,17406885,31.4895,-2.66,22321556
2010-12-06,2.09,2.09666,1.97066,2.02066,19115610,30.3105,-3.74,22519127.75
2010-12-07,2.03266,2.16,2.00334,2.104,19673205,31.56,4.12,23120682.45
2010-12-08,2.16534,2.166,2.10134,2.158,9914700,32.37,2.57,22898105.75
2010-12-09,2.16734,2.18134,2.11,2.13666,6089745,32.0505,-0.99,20906814.6
2010-12-10,2.13666,2.19466,2.07534,2.10134,6440715,31.5195,-1.66,19770029.9
2010-12-13,2.10934,2.118,2.02666,2.03666,6154965,30.5505,-3.07,18030901.5
2010-12-14,2.01934,2.026,1.85074,1.902,26503635,28.53,-6.61,17387234.3
2010-12-15,1.91134,1.998,1.902,1.97334,11143500,29.5995,3.75,16933611.1
2010-12-16,2,2.06066,1.97668,2.054,11851035,30.81,4.09,16963407.8
2010-12-17,2.08934,2.10266,2.04734,2.09066,12207240,31.3605,1.79,16856584.55
2010-12-20,2.10934,2.146,2.084,2.11334,7849800,31.6995,1.08,16386204.1
2010-12-21,2.12,2.17934,2.114,2.15066,11665155,32.2605,1.77,15821983.6
2010-12-22,2.15,2.19066,2.11334,2.17534,12498825,32.6295,1.14,15263373.1
2010-12-23,2.084,2.16534,1.99466,2.006,23356860,30.09,-7.78,15362497.6
2010-12-27,1.868,1.90534,1.67066,1.70326,139534920,25.5495,-15.09,22076328.55
2010-12-28,1.72334,1.78334,1.66666,1.76066,60848820,26.4105,3.37,24259612.95
2010-12-29,1.802,1.86734,1.76666,1.84866,49791435,27.7305,5,25081966.9
2010-12-30,1.84666,1.86,1.75866,1.76666,30615990,26.5005,-4.44,25638385.9
2010-12-31,1.77134,1.81666,1.76666,1.77534,21267690,26.6295,0.49,25196545.9
2011-01-03,1.78934,1.8,1.72666,1.77466,19261245,26.6205,-0.03,25289263.9
2011-01-04,1.77734,1.79666,1.73466,1.778,17836050,26.67,0.19,25225285.9
2011-01-05,1.76534,1.79334,1.746,1.78866,21703020,26.8305,0.6,25326776.65
2011-01-06,1.78866,1.86666,1.78734,1.85866,30918240,27.8805,3.91,26376954.35
2011-01-07,1.86666,1.90534,1.86,1.88266,33743085,28.2405,1.29,27759622.05
2011-01-10,1.878,1.912,1.87,1.89666,20142165,28.4505,0.74,28444695.25
2011-01-11,1.906,1.914,1.79466,1.79734,25670310,26.9595,-5.24,29420463.2
2011-01-12,1.80066,1.8266,1.768,1.79734,14470815,26.9595,0,28818822.2
2011-01-13,1.79734,1.798,1.744,1.748,10852830,26.22,-2.74,28804288.7
2011-01-14,1.74334,1.772,1.70734,1.71666,17881800,25.7505,-1.79,29105826.95
2011-01-18,1.69866,1.70934,1.65,1.70934,24357570,25.6395,-0.43,29713343.45
2011-01-19,1.68466,1.698,1.58334,1.602,35572695,24.03,-6.28,31099488.85
2011-01-20,1.602,1.63,1.49134,1.508,34199355,22.62,-5.87,32226198.85
